TARID,protein_name,source_organism,Strain,UniProt_ID,PDB_ID,UniProt PubMed IDs,Function_GO_uniprot,Function_PDB
1204,GGDEF family protein,Xanthomonas campestris pv. campestris ,Strain ATCC 33913  /  DSM 3586  /  NCPPB 528  /  LMG 568  /  P 25,Q8P9F3,--,12024217,Diguanylate cyclase activity,Not Available
1205,Motility quorum-sensing regulator MqsR,Hyphomonaceae bacterium,,A0A3D2W0H9,--,30148503,Not Available,Not Available
1206,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Stenotrophomonas spp.,,A0A357N2M6,--,30148503,Acetyl glucosaminyl transferase activity,Not Available
1207,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Stenotrophomonas spp.,,A0A357N2K2,--,30148503,Not Available,Not Available
1208,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Stenotrophomonas spp.,,A0A356JDF6,--,30148503,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1209,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Stenotrophomonas spp.,,A0A3D0GBI1,--,30148503,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1210,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Stenotrophomonas spp.,,A0A357N2H1,--,30148503,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1211,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Stenotrophomonas spp.,,A0A3D4THG8,--,30148503,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1212,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Stenotrophomonas spp.,,A0A3D0GBN0,--,30148503,Acetyl glucosaminyl transferase activity,Not Available
1213,Outer membrane N-deacetylase,Escherichia coli O83:H1 ,Strain NRG 857C  /  AIEC,A0A0H3EFY1,--,21108814,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1214,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Stenotrophomonas spp.,,A0A3D4TH94,--,30148503,Not Available,Not Available
1215,Surface composition regulator,Klebsiella pneumoniae 30660 / NJST258_1,,A0A0E1CCY4,--,24639510,Not Available,Not Available
1216,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Methylococcaceae bacterium,,A0A351V598,--,30148503,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1217,Biofilm PGA synthesis lipoprotein PgaB,Acinetobacter spp. HA,,I4ZWX7,--,22933775,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1218,Hemin storage protein,Stenotrophomonas maltophilia ,Pseudomonas maltophilia Xanthomonas maltophilia,A0A0M0P251,--,26324280,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1219,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Stenotrophomonas maltophilia ,Pseudomonas maltophilia Xanthomonas maltophilia,A0A0M0P2A8,--,26324280,Acetyl glucosaminyl transferase activity,Not Available
1220,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Stenotrophomonas maltophilia ,Pseudomonas maltophilia Xanthomonas maltophilia,A0A2J0SNZ8,--,29170656,Not Available,Not Available
1221,Uncharacterized protein,Acinetobacter spp. HA,,I4ZWY0,--,22933775,Not Available,Not Available
1222,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Stenotrophomonas maltophilia ,Pseudomonas maltophilia Xanthomonas maltophilia,A0A2Y9U8M9,--,29170656,Acetyl glucosaminyl transferase activity,Not Available
1223,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Stenotrophomonas maltophilia ,Pseudomonas maltophilia Xanthomonas maltophilia,A0A2U4HSV1,--,29170656,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1224,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Stenotrophomonas maltophilia ,Pseudomonas maltophilia Xanthomonas maltophilia,A0A2J0UEV7,--,29170656,Acetyl glucosaminyl transferase activity,Not Available
1225,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Stenotrophomonas maltophilia ,Pseudomonas maltophilia Xanthomonas maltophilia,A0A2J0TWK6,--,29170656,Acetyl glucosaminyl transferase activity,Not Available
1226,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Stenotrophomonas maltophilia ,Pseudomonas maltophilia Xanthomonas maltophilia,A0A2J0UEW8,--,29170656,Not Available,Not Available
1227,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Stenotrophomonas maltophilia ,Pseudomonas maltophilia Xanthomonas maltophilia,A0A2W6M1R9,--,29170656,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1228,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Stenotrophomonas maltophilia ,Pseudomonas maltophilia Xanthomonas maltophilia,A0A2J0SNW7,--,29170656,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1229,Hemin storage protein,Stenotrophomonas maltophilia ,Pseudomonas maltophilia Xanthomonas maltophilia,A0A0M0P257,--,26324280,Not Available,Not Available
1230,Surface composition regulator,Escherichia coli O44:H18 ,Strain 042  /  EAEC,D3GVV9,--,20098708,Not Available,Not Available
1231,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter spp. HA,,I4ZWX9,--,22933775,Acetyl glucosaminyl transferase activity,Not Available
1232,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Stenotrophomonas maltophilia ,Pseudomonas maltophilia Xanthomonas maltophilia,A0A2J0SHH8,--,29170656,Acetyl glucosaminyl transferase activity,Not Available
1233,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Thauera spp.,,A0A3B9PL39,--,30148503,Not Available,Not Available
1234,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas spp. R84,,A0A7Z2KP33,--,25398872,Acetyl glucosaminyl transferase activity,Not Available
1235,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Desulfobacteraceae bacterium,,A0A3A4SC85,--,28644444,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1236,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Pseudomonas spp. R84,,A0A7Z2KNW1,--,25398872,Not Available,Not Available
1237,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Thauera spp.,,A0A3B9PL11,--,30148503,Acetyl glucosaminyl transferase activity,Not Available
1238,mRNA interferase MqsR,Paraburkholderia phytofirmans OLGA172,,A0A160FSJ7,--,27063562,Not Available,Not Available
1239,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase (EC 3.5.1.-)",Acinetobacter venetianus,,A0A150HS26,--,26902269,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1240,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase (EC 3.5.1.-)",Acinetobacter venetianus,,A0A150HP82,--,26902269,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1241,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Desulfobacteraceae bacterium,,A0A3A4RZP0,--,28644444,Not Available,Not Available
1242,Motility quorum-sensing regulator MqsR,Pseudomonas spp. R84,,A0A7Z2KQT3,--,25398872,Not Available,Not Available
1243,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Herbaspirillum spp. YR522,,J3HWP5,--,23045501,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1244,Uncharacterized protein,Herbaspirillum spp. YR522,,J2W5K5,--,23045501,Not Available,Not Available
1245,Uncharacterized protein,Acinetobacter venetianus,,A0A150HP16,--,26902269,Not Available,Not Available
1246,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Marine gamma proteobacterium HTCC2143,,A0YHE0,--,20601481,Acetyl glucosaminyl transferase activity,Not Available
1247,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Herbaspirillum spp. YR522,,J3CKU0,--,23045501,Acetyl glucosaminyl transferase activity,Not Available
1248,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Paraburkholderia phytofirmans OLGA172,,A0A160FI12,--,27063562,Acetyl glucosaminyl transferase activity,Not Available
1249,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase",Pseudomonas spp. R84,,A0A7Z2KNV3,--,25398872,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1250,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Moraxellaceae bacterium,,A0A4Q5VP81,--,30498029,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1251,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB (Fragment)",Moraxellaceae bacterium,,A0A4Q6DWC4,--,30498029,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1252,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Moraxellaceae bacterium,,A0A4Q5VP12,--,30498029,Acetyl glucosaminyl transferase activity,Not Available
1253,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Moraxellaceae bacterium,,A0A4V2AC17,--,30498029,Not Available,Not Available
1254,Outer membrane N-deacetylase,Pseudomonas fluorescens BRIP34879,,L7HN69,--,23661484,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1255,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Moraxellaceae bacterium,,A0A4Q5VNZ1,--,30498029,Acetyl glucosaminyl transferase activity,Not Available
1256,Xylanae / chitin deacetylase,Acinetobacter oleivorans ,Strain JCM 16667  /  KCTC 23045  /  DR1,D8JGK9,--,20639327,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds, Hydrolase activity,  acting on glycosyl bonds",Not Available
1257,Biofilm PGA synthesis lipoprotein pgaB,Acinetobacter oleivorans ,Strain JCM 16667  /  KCTC 23045  /  DR1,D8JE04,--,20639327,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1258,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter oleivorans ,Strain JCM 16667  /  KCTC 23045  /  DR1,D8JE03,--,20639327,Acetyl glucosaminyl transferase activity,Not Available
1259,"Biofilm PGA synthesis protein PgaD,  putative",Pseudomonas fluorescens BRIP34879,,L7HLG7,--,23661484,Not Available,Not Available
1260,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter oleivorans ,Strain JCM 16667  /  KCTC 23045  /  DR1,D8JGL0,--,20639327,Acetyl glucosaminyl transferase activity,Not Available
1261,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas fluorescens BRIP34879,,L7HM73,--,23661484,Acetyl glucosaminyl transferase activity,Not Available
1262,Uncharacterized protein,Acinetobacter oleivorans ,Strain JCM 16667  /  KCTC 23045  /  DR1,D8JGL1,--,20639327,Not Available,Not Available
1263,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Moraxellaceae bacterium,,A0A4Q6EPP1,--,30498029,Acetyl glucosaminyl transferase activity,Not Available
1264,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Moraxellaceae bacterium,,A0A4Q6DYT8,--,30498029,Not Available,Not Available
1265,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Moraxellaceae bacterium,,A0A4Q5VNZ4,--,30498029,Not Available,Not Available
1266,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-) (Fragment)",Moraxellaceae bacterium,,A0A4Q6CZ11,--,30498029,Acetyl glucosaminyl transferase activity,Not Available
1267,Polysaccharide deacetylase,Actinobacillus succinogenes ,Strain ATCC 55618  /  DSM 22257  /  CCUG 43843  /  130Z,A6VMM9,--,21118570,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1268,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Actinobacillus succinogenes ,Strain ATCC 55618  /  DSM 22257  /  CCUG 43843  /  130Z,A6VMN0,--,21118570,Acetyl glucosaminyl transferase activity,Not Available
1269,Putative transmembrane protein,Ralstonia solanaarum CFBP2957,,D8P2G5,--,20550686,Not Available,Not Available
1270,Putative polysaccharide deacetylase associated with biofilm formation putative lipoprotein,Escherichia coli O7:K1 ,Strain IAI39  /  ExPEC,A0A0H3MHK2,--,19165319,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1271,Motility quorum-sensing regulator,Escherichia coli O7:K1 ,Strain IAI39  /  ExPEC,A0A0H3MKK3,--,19165319,Not Available,Not Available
1272,"Toxin-antitoxin system,  toxin component",Burkholderia pyrrocinia ,Pseudomonas pyrrocinia,A0A0G3X296,--,26150017,Not Available,Not Available
1273,MqsR toxin,Piscirickettsiaceae bacterium NZ-RLO1,,A0A177W0R7,--,27365345,Not Available,Not Available
1274,Motility quorum-sensing regulator mqsR,Tistrella mobilis ,Strain KA081020-065,I3TW37,--,22458477,Not Available,Not Available
1275,"Toxin-antitoxin system,  toxin component",Burkholderia pyrrocinia ,Pseudomonas pyrrocinia,A0A2Z5N2Q2,--,29899517,Not Available,Not Available
1276,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Burkholderia pyrrocinia ,Pseudomonas pyrrocinia,A0A0G3X2J4,--,26150017,Acetyl glucosaminyl transferase activity,Not Available
1277,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Burkholderia pyrrocinia ,Pseudomonas pyrrocinia,A0A2Z5N2I1,--,29899517,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1278,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Burkholderia pyrrocinia ,Pseudomonas pyrrocinia,A0A2Z5N4C5,--,29899517,Acetyl glucosaminyl transferase activity,Not Available
1279,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Staphylococcus aureus subspp. aureus ,ST228,A0A7U7F068,--,22720005,Acetyl glucosaminyl transferase activity,Not Available
1280,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Yersinia enterocolitica serotype O:8  /  biotype 1B ,Strain NCTC 13174  /  8081,A1JS96,--,17173484,Acetyl glucosaminyl transferase activity,Not Available
1281,Uncharacterized protein,Acinetobacter baylyi ,Strain ATCC 33305  /  BD413  /  ADP1,Q6FDD7,--,15514110,Not Available,Not Available
1282,Putative lipoprotein (Haemin storage system) (HmsF),Acinetobacter baylyi ,Strain ATCC 33305  /  BD413  /  ADP1,Q6FDD9,--,15514110,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1283,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD (Fragment)",Acidiferrobacteraceae bacterium,,A0A7V2NLF0,--,31911466,Not Available,Not Available
1284,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Pseudomonas fluorescens,,A0A7Z8NJ86,--,31040301,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1285,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Pseudomonas fluorescens,,A0A7Z8NJX9,--,31040301,Not Available,Not Available
1286,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Paraburkholderia azotifigens,,A0A5C6VNL0,--,29185955,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1287,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas fluorescens,,A0A7Z8NJM0,--,31040301,Acetyl glucosaminyl transferase activity,Not Available
1288,Uncharacterized protein,Gallionellales bacterium GWA2_59_43,,A0A1G0CW50,--,27774985,Not Available,Not Available
1289,Uncharacterized protein,Pseudomonas putida ,Strain DOT-T1E,I7BZQ0,--,23815283,Not Available,Not Available
1290,Two-component system response regulator RpfG,Xanthomonas campestris pv. vesicatoria ,Strain 85-10,Q3BUB5,--,16237009,phosphoric diester Hydrolase activity,Not Available
1291,Uncharacterized protein,Sphingobium baderi LL03,,T0HNL1,--,24051322,Not Available,Not Available
1292,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudogulbenkiania spp. ,Strain NH8B,G2J3U5,--,22038961,Acetyl glucosaminyl transferase activity,Not Available
1293,Diguanylate cyclase,Chloroflexus aurantiacus ,Strain ATCC 29366  /  DSM 635  /  J-10-fl,A9WDH0,--,21714912,Diguanylate cyclase activity,Not Available
1294,Diguanylate cyclase,Chloroflexus aurantiacus ,Strain ATCC 29366  /  DSM 635  /  J-10-fl,A9WJ93,--,21714912,Diguanylate cyclase activity,Not Available
1295,Diguanylate cyclase,Chloroflexus aurantiacus ,Strain ATCC 29366  /  DSM 635  /  J-10-fl,A9WIR5,--,21714912,Diguanylate cyclase activity,Not Available
1296,Polysaccharide deacetylase,Pseudogulbenkiania spp. ,Strain NH8B,G2J3U6,--,22038961,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1297,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Citrobacter freundii complex spp. CFNIH3,,A0A2I8SAW1,--,29437920,Not Available,Not Available
1298,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Desulfotalea psychrophila ,Strain LSv54  /  DSM 12343,Q6AMQ9,--,15305914,Acetyl glucosaminyl transferase activity,Not Available
1299,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Citrobacter freundii complex spp. CFNIH3,,A0A2I8SBF6,--,29437920,Acetyl glucosaminyl transferase activity,Not Available
1300,Histidinekinase  (EC 2.7.13.3),Bradyrhizobium diazoefficiens ,Strain JCM 10833  /  BCRC 13528  /  IAM 13628  /  NBRC 14792  /  USDA 110,Q89FJ6,--,12597275,"Diguanylate cyclase activity, protein histidine kinase activity",Not Available
1301,Polysaccharide deacetylase,Pseudogulbenkiania spp. ,Strain NH8B,G2IVP1,--,22038961,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1302,Uncharacterized protein,Actinobacteria bacterium HGW-Actinobacteria-8,,A0A2N3F169,--,28350393,Not Available,Not Available
1303,Uncharacterized protein,Pseudogulbenkiania spp. ,Strain NH8B,G2J3U4,--,22038961,Not Available,Not Available
1304,mRNA interferase MqsR,Geobacter spp. OR-1,,A0A0A8WX61,--,23668621,Not Available,Not Available
1305,Surface composition regulator,Citrobacter freundii complex spp. CFNIH3,,A0A2I8SBG3,--,29437920,Not Available,Not Available
1306,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Citrobacter freundii complex spp. CFNIH3,,A0A2I8SBF0,--,29437920,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1307,Diguanylate cyclase,Chloroflexus aurantiacus ,Strain ATCC 29366  /  DSM 635  /  J-10-fl,A9WBR3,--,21714912,Diguanylate cyclase activity,Not Available
1308,Diguanylate cyclase,Chloroflexus aurantiacus ,Strain ATCC 29366  /  DSM 635  /  J-10-fl,A9WGU1,--,21714912,Diguanylate cyclase activity,Not Available
1309,Diguanylate cyclase,Chloroflexus aurantiacus ,Strain ATCC 29366  /  DSM 635  /  J-10-fl,A9WCL4,--,21714912,Diguanylate cyclase activity,Not Available
1310,Diguanylate cyclase,Chloroflexus aurantiacus ,Strain ATCC 29366  /  DSM 635  /  J-10-fl,A9WKG1,--,21714912,Diguanylate cyclase activity,Not Available
1311,Diguanylate cyclase,Chloroflexus aurantiacus ,Strain ATCC 29366  /  DSM 635  /  J-10-fl,A9WC49,--,21714912,Diguanylate cyclase activity,Not Available
1312,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Stenotrophomonas spp. SAU14A_naIMI4_5,,A0A3Q8FC29,--,29765358,Acetyl glucosaminyl transferase activity,Not Available
1313,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Stenotrophomonas spp. SAU14A_naIMI4_5,,A0A3Q8FQ27,--,29765358,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1314,Bll7113 protein,Bradyrhizobium diazoefficiens ,Strain JCM 10833  /  BCRC 13528  /  IAM 13628  /  NBRC 14792  /  USDA 110,Q89EH2,--,12597275,Diguanylate cyclase activity,Not Available
1315,Bll1500 protein,Bradyrhizobium diazoefficiens ,Strain JCM 10833  /  BCRC 13528  /  IAM 13628  /  NBRC 14792  /  USDA 110,Q89UB7,--,12597275,Diguanylate cyclase activity,Not Available
1316,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Stenotrophomonas spp. SAU14A_naIMI4_5,,A0A3S5GH39,--,29765358,Acetyl glucosaminyl transferase activity,Not Available
1317,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Enterobacter cloacae subspp. cloacae ,Strain ATCC 13047  /  DSM 30054  /  NBRC 13535  /  NCTC 10005  /  WDCM 00083  /  NCDC 279-56,A0A0H3CRE9,--,20207761,Acetyl glucosaminyl transferase activity,Not Available
1318,GGDEF domain-containing protein,Streptomyces coelicolor ,Strain ATCC BAA-471  /  A3 2  /  M145,Q9ADC3,--,12000953,Diguanylate cyclase activity,Not Available
1319,Uncharacterized protein,Polaromona naphthalenivorans ,Strain CJ2,A1VWM5,--,19453698,Not Available,Not Available
1320,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Staphylococcus aureus ,Strain USA300,A0A0H2XJC1,--,16517273,Acetyl glucosaminyl transferase activity,Not Available
1321,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Enterobacter ludwigii,,W0BUX8,--, 25197457; 26251488,Acetyl glucosaminyl transferase activity,Not Available
1322,Type IV major pilin (Type IV pilus assembly protein PilA),Acidovorax citrulli ,Acidovorax avenae subspp. citrulli,C0LEX7,--,19589067,Not Available,Not Available
1323,"ABC transporter substrate-binding protein (Hemin Storage System Protein) (Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD)",Enterobacter ludwigii,,G8LE15,--,22675579;  25197457,Not Available,Not Available
1324,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Gammaproteobacteria bacterium,,A0A2E6LPH3,--,29337314,Not Available,Not Available
1325,Protein LpfD,Salmonella typhimurium ,Strain LT2  /  SGSC1412  /  ATCC 700720,P43663,--,7721701; 11677609,Not Available,Not Available
1326,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase (PGA N-deacetylase) (Poly-beta-1, 6-GlcNAc N-deacetylase) (EC 3.5.1.-)",Escherichia coli O157:H7,,Q8XAR3,--,11206551; 11258796,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1327,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (PGA synthase) (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-) (Biofilm PGA synthesis protein PgaC) (N-acetylglucosaminylTransferase PgaC)",Escherichia coli O157:H7,,Q8XAR5,--,11206551; 11258796,Acetyl glucosaminyl transferase activity,Not Available
1328,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (PGA synthase) (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-) (Biofilm PGA synthesis protein PgaC) (N-acetylglucosaminylTransferase PgaC)",Escherichia coli ,Strain K12,P75905,--,8905232; 9278503; 16738553; 15090514; 15919996; 18359807,Acetyl glucosaminyl transferase activity,Not Available
1329,Biofilm PGA synthesis protein PgaD,Escherichia coli O157:H7,,P69433,--,11206551; 11258796,Not Available,Not Available
1330,Biofilm PGA synthesis protein PgaD,Escherichia coli ,Strain K12,P69432,--,8905232; 9278503; 16738553; 15090514; 15919996; 18359807; 19460094,Not Available,Not Available
1331,DNA-binding HTH domain-containing protein,Eggerthella spp. ,Strain YY7918,F7V097,--,21914883,DNA binding,Not Available
1332,Uncharacterized protein,Bordetella parapertussis ,Strain Bpp5,K0MGY7,--,23051057,Not Available,Not Available
1333,Sensory box / ggdef domain protein,Thermodesulfovibrio yellowstonii ,Strain ATCC 51303  /  DSM 11347  /  YP87,B5YGD8,--,25635016,Diguanylate cyclase activity,Not Available
1334,Signaling protein,Thermodesulfovibrio yellowstonii ,Strain ATCC 51303  /  DSM 11347  /  YP87,B5YH87,--,25635016,Diguanylate cyclase activity,Not Available
1335,"Haemin storage system,  HmsS protein",Yersinia pestis bv. Antiqua ,Strain Antiqua,A0A0E1NTX1,--,16740952,Not Available,Not Available
1336,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Lysobacter gummosus,,A0A0S2G4X3,--,26597042,Not Available,Not Available
1337,Uncharacterized protein,Bordetella pertussis STO1-CHOC-0019,,A0A6N3RZF6,--,24356839,Not Available,Not Available
1338,Putative hemin storage protein,Bordetella pertussis ,Strain ATCC 9797  /  DSM 5571  /  NCTC 10739  /  18323,A0A0T7CLL3,--,23051057,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
